"filename", "language", "CSS", "JavaScript", "PHP", "Markdown", "YAML", "SCSS", "JSON", "PowerShell", "XML", "HTML", "Ruby", "C++", "C", "Python", "CMake", "Shell Script", "comment", "blank", "total"
"c:\xampp\htdocs\storp\poppler\utils\pdfdetach.cc", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 254, 0, 0, 0, 0, 33, 24, 311
"c:\xampp\htdocs\storp\poppler\utils\pdffonts.cc", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 116, 0, 0, 0, 0, 33, 18, 167
"c:\xampp\htdocs\storp\poppler\utils\pdfimages.cc", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 148, 0, 0, 0, 0, 35, 16, 199
"c:\xampp\htdocs\storp\poppler\utils\pdfinfo.cc", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 916, 0, 0, 0, 0, 66, 81, 1063
"c:\xampp\htdocs\storp\poppler\utils\pdfseparate.cc", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 123, 0, 0, 0, 0, 25, 11, 159
"c:\xampp\htdocs\storp\poppler\utils\pdfsig.cc", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 503, 0, 0, 0, 0, 39, 70, 612
"c:\xampp\htdocs\storp\poppler\utils\pdftocairo-win32.cc", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 421, 0, 0, 0, 0, 37, 49, 507
"c:\xampp\htdocs\storp\poppler\utils\pdftocairo-win32.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 11, 6, 30
"c:\xampp\htdocs\storp\poppler\utils\pdftocairo.cc", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1075, 0, 0, 0, 0, 75, 121, 1271
"c:\xampp\htdocs\storp\poppler\utils\pdftohtml.cc", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 366, 0, 0, 0, 0, 60, 52, 478
"c:\xampp\htdocs\storp\poppler\utils\pdftoppm.cc", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 595, 0, 0, 0, 0, 70, 77, 742
"c:\xampp\htdocs\storp\poppler\utils\pdftops.cc", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 438, 0, 0, 0, 0, 43, 32, 513
"c:\xampp\htdocs\storp\poppler\utils\pdftotext.cc", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 536, 0, 0, 0, 0, 52, 55, 643
"c:\xampp\htdocs\storp\poppler\utils\pdfunite.cc", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 382, 0, 0, 0, 0, 31, 19, 432
"c:\xampp\htdocs\storp\poppler\utils\printencodings.cc", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 20, 7, 40
"c:\xampp\htdocs\storp\poppler\utils\printencodings.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 17, 4, 25
"c:\xampp\htdocs\storp\poppler\utils\sanitychecks.cc", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 12, 3, 53
"c:\xampp\htdocs\storp\poppler\utils\sanitychecks.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 15, 7, 31
"c:\xampp\htdocs\storp\public\assets\bootstrap-4.0.0-alpha.2\.hound.yml", "YAML", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\xampp\htdocs\storp\public\assets\bootstrap-4.0.0-alpha.2\.travis.yml", "YAML", 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 1, 48
